oid,profile_id,arrival_departure,stage,point,weight_lbs,horizontal_feet,vertical_feet,tas_knots,weight_kgs,horizontal_metres,vertical_metres,tas_metres,power,mode,course,fuel_flow_kgm
7494,JET-SMALL-D-1,D,1,1,15000,0,0,0,6803.88,0,0,0,0.964128814,TO,ANP2.2,
7495,JET-SMALL-D-1,D,1,2,15000,3664.1,0,155.2,6803.88,1116.81768,0,79.8417088,0.856298305,TO,ANP2.2,
7496,JET-SMALL-D-1,D,1,3,15000,5660.5,216,170.7,6803.88,1725.3204,65.8368,87.8155908,0.844759322,TO,ANP2.2,
7497,JET-SMALL-D-1,D,1,4,15000,11995.1,1500,173.9,6803.88,3656.10648,457.2,89.4618116,0.839227119,TO,ANP2.2,
7498,JET-SMALL-D-1,D,1,5,15000,15446.1,1824.7,200.3,6803.88,4707.97128,556.16856,103.0431332,0.820935593,CL,ANP2.2,
7499,JET-SMALL-D-1,D,1,6,15000,16446.1,2025.5,200.9,6803.88,5012.77128,617.3724,103.3517996,0.738359322,CL,ANP2.2,
7500,JET-SMALL-D-1,D,1,7,15000,21298.6,3000,203.8,6803.88,6491.81328,914.4,104.8436872,0.736722034,CL,ANP2.2,
7501,JET-SMALL-D-1,D,1,8,15000,34617.7,4215.8,264.7,6803.88,10551.47496,1284.97584,136.1733268,0.702857627,CL,ANP2.2,
7502,JET-SMALL-D-1,D,1,9,15000,42925.2,5500,269.9,6803.88,13083.60096,1676.4,138.8484356,0.704705085,CL,ANP2.2,
7503,JET-SMALL-D-1,D,1,10,15000,56983.3,7500,278.3,6803.88,17368.50984,2286,143.1697652,0.711942373,CL,ANP2.2,
7504,JET-SMALL-D-1,D,1,11,15000,76527,10000,289.3,6803.88,23325.4296,3048,148.8286492,0.728467797,CL,ANP2.2,
